iter	Passed	Remaining
183	9738	43186
184	9800	43174
185	9861	43155
186	9920	43129
187	9983	43119
188	10039	43079
189	10098	43052
190	10163	43050
191	10220	43011
192	10275	42964
193	10326	42903
194	10375	42834
195	10433	42799
196	10488	42751
197	10539	42691
198	10593	42640
199	10652	42610
200	10707	42562
201	10757	42498
202	10815	42463
203	10872	42422
204	10924	42365
205	10981	42328
206	11036	42278
207	11092	42235
208	11148	42191
209	11196	42119
210	11250	42068
211	11306	42025
212	11355	41958
213	11414	41925
214	11460	41845
215	11518	41806
216	11574	41765
217	11627	41708
218	11682	41663
219	11736	41610
220	11788	41553
221	11840	41493
222	11886	41416
223	11945	41381
224	11997	41326
225	12053	41279
226	12109	41236
227	12159	41172
228	12213	41120
229	12269	41077
230	12323	41025
231	12380	40985
232	12436	40938
233	12491	40890
234	12547	40844
235	12599	40787
236	12656	40745
237	12712	40702
238	12772	40669
239	12820	40599
240	12870	40534
241	12927	40491
242	12982	40444
243	13034	40386
244	13086	40328
245	13142	40282
246	13193	40222
247	13242	40156
248	13293	40094
249	13348	40045
250	13400	39987
251	13457	39944
252	13513	39898
253	13568	39849
254	13623	39801
255	13678	39751
256	13729	39691
257	13781	39635
258	13837	39589
259	13889	39532
260	13941	39473
261	13990	39407
262	14036	39333
263	14090	39281
264	14143	39227
265	14195	39171
266	14247	39114
267	14300	39058
268	14353	39005
269	14402	38940
270	14453	38881
271	14507	38830
272	14561	38778
273	14611	38715
274	14669	38674
275	14718	38608
276	14771	38556
277	14826	38507
278	14878	38448
279	14935	38405
280	14987	38349
281	15042	38299
282	15099	38255
283	15155	38209
284	15205	38146
285	15257	38090
286	15311	38038
287	15360	37974
288	15414	37923
289	15468	37870
290	15522	37820
291	15576	37766
292	15625	37702
293	15677	37646
294	15727	37586
295	15776	37523
296	15827	37464
297	15881	37411
298	15931	37351
299	15987	37303
300	16040	37251
301	16089	37187
302	16142	37133
303	16201	37093
304	16252	37034
305	16309	36990
306	16360	36931
307	16416	36883
308	16469	36830
309	16521	36773
310	16576	36724
311	16628	36667
312	16682	36615
313	16732	36555
314	16787	36506
315	16843	36459
316	16898	36409
317	16950	36352
318	17005	36302
319	17060	36252
320	17115	36204
321	17168	36149
322	17224	36102
323	17277	36048
324	17330	35994
325	17386	35945
326	17442	35897
327	17493	35839
328	17545	35785
329	17598	35730
330	17650	35674
331	17705	35625
332	17758	35569
333	17811	35516
334	17865	35464
335	17917	35407
336	17967	35348
337	18021	35297
338	18071	35236
339	18129	35193
340	18187	35148
341	18242	35099
342	18290	35035
343	18338	34970
344	18389	34914
345	18440	34855
346	18491	34798
347	18547	34749
348	18602	34700
349	18657	34648
350	18711	34598
351	18767	34549
352	18822	34499
353	18874	34443
354	18927	34389
355	18978	34331
356	19033	34282
357	19089	34233
358	19144	34183
359	19195	34124
360	19246	34068
361	19304	34022
362	19358	33970
363	19411	33917
364	19462	33859
365	19521	33815
366	19577	33766
367	19630	33712
368	19687	33665
369	19737	33607
370	19792	33557
371	19840	33494
372	19885	33426
373	19937	33371
374	19991	33318
375	20048	33271
376	20097	33211
377	20150	33157
378	20203	33104
379	20254	33046
380	20310	32997
381	20362	32941
382	20413	32885
383	20469	32836
384	20523	32784
385	20576	32729
386	20630	32678
387	20686	32629
388	20738	32573
389	20790	32519
390	20844	32466
391	20897	32412
392	20944	32348
393	20998	32296
394	21048	32239
395	21109	32196
396	21160	32141
397	21217	32092
398	21271	32040
399	21325	31988
