iter	Passed	Remaining
1019	9197	4328
1020	9206	4319
1021	9214	4309
1022	9222	4300
1023	9230	4290
1024	9238	4281
1025	9246	4271
1026	9254	4262
1027	9265	4254
1028	9273	4244
1029	9283	4236
1030	9291	4226
1031	9300	4217
1032	9309	4208
1033	9318	4199
1034	9327	4190
1035	9335	4181
1036	9344	4172
1037	9352	4162
1038	9361	4153
1039	9369	4144
1040	9377	4134
1041	9386	4125
1042	9395	4116
1043	9403	4107
1044	9411	4097
1045	9421	4089
1046	9429	4079
1047	9438	4070
1048	9448	4062
1049	9456	4052
1050	9465	4043
1051	9474	4034
1052	9482	4025
1053	9490	4015
1054	9497	4006
1055	9506	3997
1056	9515	3988
1057	9523	3978
1058	9531	3969
1059	9540	3960
1060	9549	3951
1061	9558	3942
1062	9568	3933
1063	9577	3924
1064	9585	3915
1065	9594	3906
1066	9602	3896
1067	9613	3888
1068	9622	3879
1069	9631	3870
1070	9640	3861
1071	9648	3852
1072	9656	3842
1073	9665	3833
1074	9674	3824
1075	9683	3815
1076	9691	3806
1077	9700	3797
1078	9708	3788
1079	9717	3779
1080	9727	3770
1081	9736	3761
1082	9745	3752
1083	9755	3743
1084	9764	3734
1085	9774	3726
1086	9782	3716
1087	9792	3708
1088	9801	3699
1089	9809	3689
1090	9817	3680
1091	9825	3671
1092	9833	3661
1093	9840	3652
1094	9850	3643
1095	9859	3634
1096	9867	3625
1097	9877	3616
1098	9886	3607
1099	9893	3597
1100	9901	3588
1101	9910	3579
1102	9918	3570
1103	9927	3560
1104	9934	3551
1105	9943	3542
1106	9950	3532
1107	9958	3523
1108	9967	3514
1109	9976	3505
1110	9983	3495
1111	9989	3485
1112	9998	3476
1113	10008	3467
1114	10015	3458
1115	10025	3449
1116	10034	3440
1117	10043	3431
1118	10052	3422
1119	10060	3413
1120	10070	3404
1121	10078	3395
1122	10086	3386
1123	10096	3377
1124	10104	3368
1125	10112	3358
1126	10120	3349
1127	10130	3341
1128	10139	3332
1129	10149	3323
1130	10157	3314
1131	10166	3304
1132	10175	3296
1133	10184	3286
1134	10193	3278
1135	10202	3269
1136	10210	3259
1137	10219	3250
1138	10227	3241
1139	10234	3231
1140	10241	3222
1141	10251	3213
1142	10259	3204
1143	10270	3195
1144	10277	3186
1145	10283	3176
1146	10293	3167
1147	10302	3158
1148	10311	3149
1149	10320	3140
1150	10329	3132
1151	10337	3122
1152	10345	3113
1153	10353	3104
1154	10361	3095
1155	10371	3086
1156	10379	3076
1157	10387	3067
1158	10397	3059
1159	10405	3049
1160	10413	3040
1161	10421	3031
1162	10431	3022
1163	10438	3013
1164	10445	3003
1165	10455	2994
1166	10465	2986
1167	10473	2977
1168	10482	2968
1169	10492	2959
1170	10501	2950
1171	10511	2941
1172	10520	2932
1173	10529	2923
1174	10538	2914
1175	10546	2905
1176	10556	2896
1177	10565	2887
1178	10574	2878
1179	10582	2869
1180	10590	2860
1181	10599	2851
1182	10608	2842
1183	10618	2833
1184	10626	2824
1185	10635	2815
1186	10644	2806
1187	10652	2797
1188	10661	2788
1189	10669	2779
1190	10675	2769
1191	10683	2760
1192	10692	2751
1193	10700	2742
1194	10709	2733
1195	10718	2724
1196	10727	2715
1197	10735	2706
1198	10745	2697
1199	10754	2688
1200	10763	2679
1201	10771	2670
1202	10781	2661
1203	10789	2652
1204	10797	2643
1205	10806	2634
1206	10814	2625
1207	10822	2615
1208	10831	2606
1209	10840	2598
1210	10849	2589
1211	10858	2580
1212	10866	2570
1213	10874	2561
1214	10882	2552
1215	10890	2543
1216	10899	2534
1217	10908	2525
1218	10917	2516
1219	10927	2507
1220	10934	2498
1221	10943	2489
1222	10950	2480
1223	10958	2470
1224	10967	2462
1225	10973	2452
1226	10982	2443
1227	10988	2434
1228	10996	2424
1229	11004	2415
1230	11012	2406
1231	11020	2397
1232	11029	2388
1233	11036	2379
1234	11045	2370
1235	11053	2360
1236	11061	2351
1237	11070	2342
1238	11079	2334
1239	11088	2324
1240	11097	2316
1241	11106	2307
1242	11115	2298
1243	11123	2289
1244	11132	2280
1245	11141	2271
1246	11148	2261
1247	11157	2252
1248	11166	2244
1249	11174	2234
1250	11183	2226
1251	11193	2217
1252	11200	2207
1253	11210	2199
1254	11218	2190
1255	11228	2181
1256	11237	2172
1257	11246	2163
1258	11254	2154
1259	11263	2145
1260	11271	2136
1261	11280	2127
1262	11290	2118
1263	11298	2109
1264	11307	2100
1265	11313	2091
1266	11319	2081
1267	11326	2072
1268	11335	2063
1269	11343	2054
1270	11349	2044
1271	11358	2035
1272	11367	2027
1273	11376	2018
1274	11384	2008
1275	11392	1999
1276	11400	1990
1277	11410	1982
1278	11420	1973
1279	11428	1964
1280	11437	1955
1281	11445	1946
1282	11454	1937
1283	11462	1928
1284	11470	1919
1285	11478	1910
1286	11487	1901
1287	11496	1892
1288	11504	1883
1289	11512	1874
1290	11521	1865
1291	11529	1856
1292	11537	1847
1293	11547	1838
1294	11556	1829
1295	11565	1820
1296	11573	1811
1297	11581	1802
1298	11591	1793
1299	11598	1784
1300	11608	1775
1301	11616	1766
1302	11623	1757
1303	11631	1748
1304	11639	1739
1305	11646	1730
1306	11654	1720
1307	11662	1711
1308	11671	1702
1309	11677	1693
1310	11686	1684
1311	11696	1676
1312	11705	1667
1313	11715	1658
1314	11724	1649
1315	11733	1640
1316	11740	1631
1317	11749	1622
1318	11758	1613
1319	11767	1604
1320	11778	1595
1321	11787	1587
1322	11796	1578
1323	11805	1569
