iter	Passed	Remaining
595	4674	14933
596	4682	14925
597	4689	14914
598	4691	14889
599	4699	14881
600	4707	14874
601	4715	14866
602	4717	14842
603	4725	14832
604	4732	14823
605	4739	14812
606	4745	14798
607	4753	14792
608	4757	14772
609	4764	14761
610	4771	14753
611	4776	14733
612	4780	14716
613	4784	14695
614	4791	14687
615	4799	14679
616	4807	14671
617	4815	14663
618	4822	14655
619	4830	14647
620	4839	14641
621	4846	14632
622	4853	14623
623	4861	14616
624	4867	14603
625	4874	14591
626	4877	14570
627	4885	14562
628	4891	14548
629	4896	14535
630	4903	14523
631	4910	14515
632	4918	14507
633	4924	14495
634	4932	14487
635	4939	14476
636	4946	14466
637	4952	14454
638	4959	14445
639	4967	14437
640	4974	14427
641	4982	14420
642	4990	14412
643	4997	14401
644	5005	14394
645	5011	14383
646	5016	14367
647	5023	14358
648	5031	14351
649	5039	14344
650	5048	14337
651	5055	14329
652	5063	14323
653	5071	14314
654	5078	14305
655	5086	14297
656	5094	14289
657	5098	14273
658	5105	14262
659	5111	14250
660	5118	14240
661	5126	14233
662	5134	14225
663	5141	14216
664	5144	14196
665	5152	14189
666	5159	14179
667	5164	14162
668	5170	14152
669	5178	14145
670	5186	14136
671	5194	14129
672	5200	14116
673	5207	14107
674	5210	14088
675	5218	14079
676	5226	14073
677	5233	14064
678	5241	14056
679	5248	14048
680	5256	14040
681	5264	14032
682	5272	14025
683	5276	14008
684	5282	13997
685	5289	13986
686	5296	13976
687	5301	13962
688	5306	13948
689	5314	13940
690	5320	13929
691	5328	13922
692	5333	13906
693	5340	13897
694	5348	13890
695	5356	13884
696	5364	13875
697	5368	13860
698	5377	13854
699	5383	13843
700	5391	13835
701	5398	13826
702	5406	13819
703	5414	13812
704	5421	13803
705	5429	13796
706	5437	13789
707	5444	13779
708	5451	13770
709	5459	13765
710	5466	13753
711	5473	13744
712	5480	13736
713	5487	13726
714	5495	13720
715	5503	13712
716	5512	13707
717	5519	13698
718	5527	13691
719	5535	13683
720	5542	13676
721	5549	13667
722	5558	13661
723	5565	13652
724	5572	13643
725	5580	13635
726	5586	13625
727	5594	13617
728	5602	13610
729	5605	13591
730	5613	13583
731	5620	13574
732	5627	13567
733	5636	13560
734	5643	13552
735	5652	13547
736	5660	13540
737	5668	13533
738	5676	13527
739	5684	13519
740	5693	13514
741	5701	13507
742	5710	13503
743	5718	13496
744	5728	13494
745	5736	13487
746	5741	13473
747	5749	13467
748	5759	13464
749	5767	13457
750	5776	13453
751	5785	13447
752	5794	13444
753	5802	13436
754	5808	13423
755	5819	13425
756	5827	13418
757	5834	13408
758	5839	13394
759	5848	13388
760	5852	13374
761	5861	13368
762	5868	13360
763	5877	13354
764	5883	13344
765	5892	13338
766	5900	13332
767	5909	13326
768	5916	13317
769	5924	13311
770	5942	13326
771	5953	13325
772	5962	13320
773	5971	13316
774	5979	13309
775	5988	13304
776	5996	13297
777	6006	13294
778	6015	13290
779	6023	13282
780	6031	13275
781	6039	13268
782	6047	13261
783	6054	13252
784	6061	13242
785	6069	13234
786	6077	13228
787	6084	13219
788	6091	13210
789	6098	13200
790	6106	13193
791	6114	13185
792	6121	13178
793	6129	13170
794	6138	13163
795	6146	13158
796	6155	13153
797	6162	13143
798	6172	13140
799	6180	13134
800	6189	13128
801	6198	13122
802	6207	13117
803	6213	13107
804	6221	13099
805	6229	13092
806	6238	13087
807	6246	13079
808	6253	13071
809	6261	13063
810	6269	13056
811	6275	13045
812	6282	13037
813	6289	13027
814	6298	13021
815	6304	13011
816	6311	13001
817	6319	12994
818	6327	12987
819	6334	12977
820	6341	12968
821	6348	12959
822	6356	12952
823	6363	12942
824	6370	12933
825	6377	12925
826	6383	12913
827	6389	12903
828	6397	12895
829	6405	12887
830	6412	12879
831	6418	12868
832	6426	12861
833	6434	12852
834	6441	12843
835	6449	12837
836	6454	12824
837	6461	12814
838	6469	12807
839	6476	12797
840	6483	12790
841	6490	12781
842	6496	12769
843	6503	12761
844	6511	12753
845	6518	12744
846	6525	12735
847	6533	12727
848	6539	12716
849	6547	12709
850	6553	12699
851	6560	12688
852	6566	12678
853	6573	12670
854	6581	12662
855	6589	12655
856	6597	12648
857	6604	12639
858	6611	12629
859	6617	12619
860	6624	12610
861	6632	12602
862	6640	12595
863	6646	12584
864	6654	12577
865	6661	12569
866	6668	12560
867	6676	12553
868	6684	12545
869	6692	12538
870	6699	12529
871	6704	12517
872	6711	12508
873	6719	12500
874	6726	12492
875	6733	12482
876	6740	12474
877	6746	12463
878	6754	12456
879	6760	12445
880	6767	12435
881	6775	12429
882	6783	12422
883	6791	12415
884	6798	12406
885	6806	12399
886	6814	12391
887	6821	12382
888	6827	12373
889	6835	12365
890	6843	12357
891	6849	12348
892	6856	12338
893	6864	12331
894	6871	12322
895	6879	12315
896	6885	12305
897	6892	12296
898	6900	12288
899	6907	12280
900	6915	12272
901	6921	12262
902	6927	12251
903	6935	12243
904	6942	12235
905	6949	12226
906	6956	12218
907	6963	12209
908	6970	12200
909	6977	12191
910	6984	12182
911	6990	12172
912	6998	12164
913	7005	12155
914	7011	12144
915	7018	12136
916	7024	12125
917	7029	12114
918	7036	12105
919	7044	12098
920	7051	12089
921	7059	12081
922	7067	12074
923	7074	12065
924	7081	12058
925	7089	12050
926	7096	12041
927	7103	12032
928	7110	12024
929	7117	12014
930	7124	12006
931	7132	12000
932	7140	11992
933	7146	11982
934	7153	11973
935	7161	11966
936	7169	11959
937	7177	11951
938	7183	11942
939	7190	11933
940	7197	11924
941	7205	11917
942	7211	11906
943	7219	11900
944	7226	11891
945	7234	11884
946	7241	11876
947	7249	11868
948	7255	11858
949	7263	11850
950	7270	11842
951	7277	11833
952	7285	11825
953	7292	11817
954	7300	11810
955	7307	11802
956	7313	11791
957	7320	11783
958	7326	11772
959	7333	11763
960	7340	11755
961	7347	11747
962	7354	11738
963	7362	11730
964	7368	11721
965	7376	11714
966	7383	11705
967	7391	11698
968	7399	11690
969	7407	11684
970	7415	11676
971	7422	11668
972	7429	11659
973	7437	11653
974	7445	11645
975	7452	11636
976	7459	11628
977	7466	11620
978	7474	11611
979	7480	11602
980	7487	11593
981	7495	11587
982	7503	11579
983	7510	11570
984	7517	11563
985	7523	11552
986	7531	11545
987	7538	11536
988	7544	11527
989	7552	11519
990	7559	11511
991	7566	11502
992	7572	11491
993	7579	11484
994	7587	11476
995	7594	11468
996	7601	11458
997	7608	11450
998	7616	11443
999	7622	11433
1000	7629	11425
1001	7637	11418
1002	7645	11410
1003	7651	11401
1004	7658	11392
1005	7665	11384
1006	7672	11376
1007	7679	11366
1008	7686	11357
1009	7694	11351
1010	7702	11343
1011	7710	11336
1012	7717	11328
1013	7724	11320
1014	7732	11312
1015	7738	11303
1016	7746	11296
1017	7754	11288
1018	7760	11279
1019	7768	11271
1020	7775	11263
1021	7783	11256
1022	7790	11248
1023	7798	11241
1024	7805	11232
1025	7813	11224
1026	7819	11215
1027	7827	11208
1028	7835	11201
1029	7843	11193
1030	7850	11186
1031	7858	11178
1032	7866	11171
1033	7872	11161
1034	7880	11154
1035	7887	11146
1036	7895	11138
1037	7902	11130
1038	7910	11122
1039	7917	11114
1040	7925	11108
1041	7933	11100
1042	7940	11092
1043	7948	11085
1044	7955	11077
1045	7962	11068
1046	7970	11061
1047	7977	11052
1048	7984	11044
1049	7992	11037
1050	7999	11029
1051	8006	11020
1052	8014	11013
1053	8022	11005
1054	8031	11000
1055	8041	10995
1056	8049	10988
1057	8057	10982
1058	8066	10976
1059	8077	10973
1060	8087	10968
1061	8096	10963
1062	8108	10961
1063	8126	10968
1064	8139	10967
1065	8149	10962
1066	8159	10957
1067	8165	10948
1068	8174	10942
1069	8181	10933
1070	8189	10927
1071	8197	10919
1072	8206	10914
1073	8214	10907
1074	8224	10902
1075	8231	10893
1076	8238	10885
1077	8244	10875
1078	8253	10869
1079	8262	10863
