,price,status,add_attr,state,lat,long,bath,bed,living,lot_a,fireplace,parking,covered,garage,total_spaces,subtype,year,sewer,water,app,heating,cooling,stories,materials,roof,foundation,interior
182,715000,4,1,4,40.731895,-73.7185,2,3,1800,8920.064174148956,1,1,2,2,2,1,1945,1,1,4,1,1,3.0,8,4,4,8
183,999000,6,1,6,40.55928,-74.15433,4,3,2998,4000.0,1,1,2,2,2,1,2022,1,1,6,1,1,2.0,8,6,6,8
184,525000,4,1,4,40.669167,-73.80293,3,3,812,2099.0,1,1,2,2,2,0,1920,0,1,4,1,1,1.5,8,4,4,8
188,769000,4,1,4,40.81562,-73.80169000000001,4,5,3522,8920.715226201664,1,0,2,2,2,0,1960,0,1,4,1,1,1.5,8,4,4,8
189,899999,4,1,4,40.611446,-74.03272,2,2,1384,1120.0,1,1,2,1,2,1,1940,0,1,4,1,1,1.5,8,4,4,8
190,748800,4,1,4,40.6743,-73.842155,2,3,1582,2700.0,1,1,2,2,2,1,1925,1,1,4,1,0,2.0,8,4,4,8
191,669999,4,1,4,40.56201,-74.17705,3,3,1920,3069.0,1,1,2,2,2,1,1970,1,1,4,1,1,2.0,8,4,4,8
192,879000,4,1,4,40.72298,-73.73058,3,4,2412,2600.0,1,1,2,2,2,1,1920,1,1,4,1,1,1.5,8,4,4,8
194,759000,4,1,4,40.611270000000005,-73.92648,2,3,1260,2067.0,1,1,1,1,1,1,1930,0,1,4,1,1,2.0,8,4,4,8
195,499999,4,1,4,40.686016,-73.805435,1,2,1228,2178.0,1,1,1,1,1,0,1930,1,1,4,1,1,1.5,8,4,4,8
197,810000,4,1,4,40.75118,-73.76345,1,3,2412,4500.0,1,1,1,1,1,1,1935,1,1,4,1,1,3.0,8,4,4,8
199,1388888,4,1,4,40.71718,-73.838356,2,3,2412,1311.0,1,1,1,1,1,1,1935,1,0,4,1,1,2.0,8,4,4,8
201,549000,4,1,4,40.84077,-73.86768000000001,3,3,2412,2375.0,1,1,1,1,1,1,1921,1,1,4,1,0,1.5,8,4,4,8
202,599000,4,1,4,40.511116,-74.2427,2,3,1188,6660.0,1,1,2,1,2,1,1899,0,1,4,1,1,2.0,8,4,4,8
203,1975000,4,1,4,40.66516,-73.98601500000001,2,4,1920,1293.0,1,0,2,2,2,0,1899,0,1,4,1,1,1.5,8,4,4,8
204,499900,4,1,4,40.640240000000006,-73.946304,2,3,1229,871.0,1,1,2,2,2,0,1930,0,1,4,1,1,1.5,8,4,4,8
205,750000,4,1,4,40.70302,-73.73569,3,4,1672,3400.0,1,1,2,2,2,0,1935,0,1,4,1,1,1.5,8,4,4,8
206,442000,4,1,4,40.62967,-73.93511,2,3,1500,2000.0,1,1,1,1,1,1,1915,0,1,4,1,1,2.0,8,4,4,8
207,799000,4,1,4,40.66873,-73.73185,4,5,2412,4000.0,1,1,1,1,1,1,1925,1,1,4,1,0,1.5,8,4,4,8
208,788000,4,1,4,40.732605,-73.757675,2,3,1300,4000.0,1,1,2,2,2,1,1950,1,1,4,1,0,1.5,8,4,4,8
211,989999,4,1,4,40.782825,-73.81828,3,3,1118,4150.0,1,1,1,1,1,1,1960,1,1,4,1,0,2.0,8,4,4,8
212,998000,4,1,4,40.852135,-73.850204,3,4,2800,3742.0,1,1,2,2,2,0,1925,0,1,4,1,1,1.5,8,4,4,8
213,1588000,4,1,4,40.601624,-74.11833,5,5,3290,5350.0,1,1,1,1,1,1,2005,1,1,4,1,1,2.0,8,4,4,8
215,749000,4,1,4,40.687187,-73.796425,3,4,1536,2300.0,1,1,2,2,2,0,1930,0,1,4,1,1,1.5,8,4,4,8
